CODE,YEAR,MONTH,LOCATION,,LIVESTOCK STOLEN,TOTAL DEATHS,POLICE DEATHS,LOCALS DEATH,SUSPECTED BANDITS,TOTAL INJURY,POLICE INJURY,LOCALS INJURY,BANDITS INJURED,NUMBER OF PEOPLE DISPLACED,NUMBER OF PEOPLE ABDUCTED,OTHER CRIMES,OTHER CRIMES,OTHER CRIMES,TYPE OF WEAPON,SPECIFICS OF WEAPON,NUMBER OF WEAPONS,AMMUNITION,TYPE,FACILITIES ATTACKED,WEB LINK,NEWSPAPER NAME,comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You MUST indicate the code of the word document you are using,indicate the YEAR of the incident,"either JAN, FEB, APR, MAY, JUN, JUL, AUG, SEPT, OCT, NOV, DEC",NAME of Place (If possible indicate name of Sub county),NUMBER ATTACKING BANDITS,Indicate the No. of cattle stolen. If none stolen indicate UNKNOWN,Total Number of Deaths (Police + Locals + Suspected Bandits),Number of Police  deaths,Number of Locals deaths,Number of Suspected Bandits Killed,Total Number of Injuries (Police + Locals + Suspected Bandits),Number of Police injured,Number of Locals Injured,Number of bandits injured,NUMBER OF PEOPLE DISPLACED,NUMBER OF PEOPLE ABDUCTED,"Indicate if there was another crime (arson, kidnapping, rape, theft of car, etc)","if there is more than one other crime indicate if there was another crime (arson, kidnapping, rape, theft of car, etc)","if there is more than one other crime indicate if there was another crime (arson, kidnapping, rape, theft of car, etc)","indicate what type of weapon this is (FIREARMS, BOW & ARROW, MACHETE)",indicate more details a about this weapon,indicate the Number of weapons,If this is a FIREARM is there amunition,"What is the type of ammunition (BULLETS, GRENADE)","Indicate if a facility has been attacked (SCHOOL, HOSPITAL, POLICE STATION, GOVERNMENT OFFICE) - IF THERE IS MORE THAN ONE FACILITY SEPARATE THEM WITH SEMI COLON (;)",Indicate the weblink this is from,INDICATE THE MEDIA HOUSE THAT PUBLISHED,ADD ANY COMMENTS YOU MAY HAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N040,2018,NOVEMBER,GARISSA,30,Unknown,2,0,2,0,0,0,0,,,,,0,0,0,0,0,0,0,0,https://www.kenyanews.go.ke/mp-dismiss-claims-that-killings-were-related-to-border-dispute/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N041,2019,FEBRUARY,TURKANA,,300,2,1,1,0,1,1,0,,,,,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/learning-and-transport-affected-by-kainuk-attacks/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N042,2019,MAY,MARSABIT ,,Unknown,13,0,13,0,0,0,0,,,,,0,0,FIREARM,AK-47,0,YES,BULLETS,0,https://www.kenyanews.go.ke/two-herders-killed-in-saku-constituency/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N043,2019,MAY,BARINGO,,81,0,0,0,0,2,0,2,,,,,0,0,0,0,0,0,0,0,https://www.kenyanews.go.ke/cattle-rustlers-make-away-with-over-80-animals/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N044,2019,APRIL,SAMBURU,,50,1,1,0,0,2,2,0,,,,,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/senior-officer-killed-in-shootout-with-rustlers/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N045,2019,APRIL,LAIKIPIA-RUMURUTI ,3,Unknown,1,1,0,0,0,0,0,,,,,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/residents-of-rumuruti-living-in-fear-following-banditry-attack-on-friday/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N046,2019,JUNE,WEST;ELGEYO MARAKWET,,24,1,0,1,0,0,0,0,,,,,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/one-person-killed-during-attack/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N047,2019,MAY,WEST POKOT - POKOT CENTRAL ,,Unknown,2,1,1,0,1,0,1,0,0,0,0,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/one-person-gunned-down-in-banditry-attack/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N048,2019,SEPTEMBER,KITUI-KITUI SOUTH ,,Unknown,1,0,1,0,2,0,2,0,158,0,0,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/kitui-families-flee-bandit-invasions/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N049,2019,AUGUST,ISIOLO,,Unknown,1,0,1,0,1,0,1,0,0,0,0,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/53-year-old-man-shot-dead-and-female-enumerator-injured/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N050,2019,AUGUST,BARINGO,,Unknown,0,0,0,0,1,0,1,0,0,0,0,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/anxiety-over-insecurity-during-census/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N051,2019,SEPTEMBER,KITUI ,,Unknown,2,0,2,0,0,0,0,0,200,0,0,0,0,FIREARM,0,0,YES,BULLETS,0,https://www.kenyanews.go.ke/agony-of-kitui-bandit-attack-victims-spending-cold-nights-in-the-forest/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BED_N052,2019,SEPTEMBER,KITUI,,Unknown,3,0,3,0,3,0,3,0,0,0,0,0,0,SPEAR;MACHETE,0,0,0,0,0,https://www.kenyanews.go.ke/parliamentary-security-committee-visits-insecurity-hotspots-in-kitui/,KENYA NEWS AGENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
